date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
2/7/2023,Honduras,Haiti,2,1,Gold Cup,Charlotte,United States,TRUE,Honduras
2/7/2023,Mexico,Qatar,0,1,Gold Cup,Santa Clara,United States,TRUE,Qatar
4/7/2023,Costa Rica,Martinique,6,4,Gold Cup,Harrison,United States,TRUE,Costa Rica
4/7/2023,Panama,El Salvador,2,2,Gold Cup,Houston,United States,TRUE,DRAW
4/7/2023,Guadeloupe,Guatemala,2,3,Gold Cup,Harrison,United States,TRUE,Guatemala
4/7/2023,Canada,Cuba,4,2,Gold Cup,Houston,United States,TRUE,Canada
8/7/2023,Panama,Qatar,4,0,Gold Cup,Arlington,United States,TRUE,Panama
8/7/2023,Mexico,Costa Rica,2,0,Gold Cup,Arlington,United States,TRUE,Mexico
9/7/2023,Guatemala,Jamaica,0,1,Gold Cup,Cincinnati,United States,TRUE,Jamaica
9/7/2023,United States,Canada,2,2,Gold Cup,Cincinnati,United States,FALSE,DRAW
12/7/2023,United States,Panama,1,1,Gold Cup,San Diego,United States,FALSE,DRAW
12/7/2023,Jamaica,Mexico,0,3,Gold Cup,Paradise,United States,TRUE,Mexico
16/07/2023,Mexico,Panama,1,0,Gold Cup,Inglewood,United States,TRUE,Mexico
